餐廳名稱,地址,餐廳連結,latitude,longitude,distance
天使雞排-樂華店,234新北市永和區保平路19號 ,https://www.google.com/maps/place/%E5%A4%A9%E4%BD%BF%E9%9B%9E%E6%8E%92-%E6%A8%82%E8%8F%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9c28c1bee39:0xda24af88a9498bdb!8m2!3d25.0074895!4d121.5127212!16s%2Fg%2F11fzwcmgd0!19sChIJOe4bjMKpQjQR24tJqYivJNo?authuser=0&hl=zh-TW&rclk=1,25.0074895,121.5101463,0.1191892344659462
樂華夜市 白雪公豬 刈包,234新北市永和區永平路36號 ,https://www.google.com/maps/place/%E6%A8%82%E8%8F%AF%E5%A4%9C%E5%B8%82+%E7%99%BD%E9%9B%AA%E5%85%AC%E8%B1%AC+%E5%88%88%E5%8C%85/data=!4m7!3m6!1s0x3442a92aff798e37:0x73eedc6b849a06!8m2!3d25.0088479!4d121.5129952!16s%2Fg%2F11txcg3l02!19sChIJN455_yqpQjQRBpqEa9zucwA?authuser=0&hl=zh-TW&rclk=1,25.0088479,121.5104203,0.0356013954226584
一級棒炭烤（樂華夜市店）,234新北市永和區保福路一段23巷18號 ,https://www.google.com/maps/place/%E4%B8%80%E7%B4%9A%E6%A3%92%E7%82%AD%E7%83%A4%EF%BC%88%E6%A8%82%E8%8F%AF%E5%A4%9C%E5%B8%82%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a9c2c2c1d8d7:0xa282e45806c7aaee!8m2!3d25.0080911!4d121.5120625!16s%2Fg%2F1wh4cklh!19sChIJ19jBwsKpQjQR7qrHBljkgqI?authuser=0&hl=zh-TW&rclk=1,25.0080911,121.5094876,0.0939585753418728
大統牛排,234新北市永和區永平路70號 ,https://www.google.com/maps/place/%E5%A4%A7%E7%B5%B1%E7%89%9B%E6%8E%92/data=!4m7!3m6!1s0x3442a9c2f28ec50d:0xca40e4774876ae7d!8m2!3d25.0085657!4d121.5122558!16s%2Fg%2F1tdpcx8n!19sChIJDcWO8sKpQjQRfa52SHfkQMo?authuser=0&hl=zh-TW&rclk=1,25.0085657,121.5096809,0.0587722264623974
樂華姐妹巨無霸豬血糕,234新北市永和區永平路32-34號 ,https://www.google.com/maps/place/%E6%A8%82%E8%8F%AF%E5%A7%90%E5%A6%B9%E5%B7%A8%E7%84%A1%E9%9C%B8%E8%B1%AC%E8%A1%80%E7%B3%95/data=!4m7!3m6!1s0x3442a9c28d71d7bf:0x94be39e15e643075!8m2!3d25.0088406!4d121.5130783!16s%2Fg%2F12m98nlyl!19sChIJv9dxjcKpQjQRdTBkXuE5vpQ?authuser=0&hl=zh-TW&rclk=1,25.0088406,121.5105034,0.0394100617666112
龍涎居雞膳食坊 永和樂華店,234新北市永和區保平路18巷6號 ,https://www.google.com/maps/place/%E9%BE%8D%E6%B6%8E%E5%B1%85%E9%9B%9E%E8%86%B3%E9%A3%9F%E5%9D%8A+%E6%B0%B8%E5%92%8C%E6%A8%82%E8%8F%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9c2c6b543e9:0x44ee16ba4d454fcd!8m2!3d25.0077288!4d121.5123889!16s%2Fg%2F11cmsc4z8k!19sChIJ6UO1xsKpQjQRzU9FTboW7kQ?authuser=0&hl=zh-TW&rclk=1,25.0077288,121.509814,0.1026496088686009
基隆美華大腸圈 永和總店,234新北市永和區永和路一段157號 ,https://www.google.com/maps/place/%E5%9F%BA%E9%9A%86%E7%BE%8E%E8%8F%AF%E5%A4%A7%E8%85%B8%E5%9C%88+%E6%B0%B8%E5%92%8C%E7%B8%BD%E5%BA%97/data=!4m7!3m6!1s0x3442a9e9d7e712f9:0x1667e837ab2ced93!8m2!3d25.0096373!4d121.5142919!16s%2Fg%2F11g6mc6qnm!19sChIJ-RLn1-mpQjQRk-0sqzfoZxY?authuser=0&hl=zh-TW&rclk=1,25.0096373,121.511717,0.1891411964298947
重慶小麵酸辣粉,234新北市永和區永平路79號1 樓 ,https://www.google.com/maps/place/%E9%87%8D%E6%85%B6%E5%B0%8F%E9%BA%B5%E9%85%B8%E8%BE%A3%E7%B2%89/data=!4m7!3m6!1s0x3442a9669946cef5:0x4f029833b4f89ce!8m2!3d25.0083202!4d121.511762!16s%2Fg%2F11t156gsvj!19sChIJ9c5GmWapQjQRzolPO4Mp8AQ?authuser=0&hl=zh-TW&rclk=1,25.0083202,121.5091871,0.1118212020618669
肥豬的攤,23444新北市永和區保平路18巷13號 ,https://www.google.com/maps/place/%E8%82%A5%E8%B1%AC%E7%9A%84%E6%94%A4/data=!4m7!3m6!1s0x3442a9bb2f532bf1:0x96b24bfc4d550211!8m2!3d25.007813!4d121.5120626!16s%2Fg%2F11bzzz071m!19sChIJ8StTL7upQjQREQJVTfxLspY?authuser=0&hl=zh-TW&rclk=1,25.007813,121.5094877,0.1139176674970036
台灣G湯-樂華店,234新北市永和區永和路一段115-1號號 ,https://www.google.com/maps/place/%E5%8F%B0%E7%81%A3G%E6%B9%AF-%E6%A8%82%E8%8F%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9c2990b5839:0xedb74b27e41de4df!8m2!3d25.008092!4d121.5137972!16s%2Fg%2F11c5_6wq97!19sChIJOVgLmcKpQjQR3-Qd5CdLt-0?authuser=0&hl=zh-TW&rclk=1,25.008092,121.5112223,0.1098403772049832
