餐廳名稱,餐廳連結
新曼谷泰式純檸檬涼拌青木瓜絲,"https://www.google.com/maps/place/%E6%96%B0%E6%9B%BC%E8%B0%B7%E6%B3%B0%E5%BC%8F%E7%B4%94%E6%AA%B8%E6%AA%AC%E6%B6%BC%E6%8B%8C%E9%9D%92%E6%9C%A8%E7%93%9C%E7%B5%B2/@22.9826623,120.2164495,17z/data=!3m1!4b1!4m6!3m5!1s0x346e770046e3840f:0x1c693b89c8ac9b85!8m2!3d22.9826623!4d120.2190244!16s%2Fg%2F11vpy3d99p?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
天王牛排,https://www.google.com/maps/place/%E5%A4%A9%E7%8E%8B%E7%89%9B%E6%8E%92/data=!4m7!3m6!1s0x346e77001a9f5b1b:0x8c3f9268084a51d0!8m2!3d22.98269!4d120.2191176!16s%2Fg%2F11ld2st8p3!19sChIJG1ufGgB3bjQR0FFKCGiSP4w?authuser=0&hl=zh-TW&rclk=1
天王牛排,https://www.google.com/maps/place/%E5%A4%A9%E7%8E%8B%E7%89%9B%E6%8E%92/data=!4m7!3m6!1s0x346e770042c743af:0xd799cc43d22b5415!8m2!3d23.0107495!4d120.1998302!16s%2Fg%2F11vyy96stl!19sChIJr0PHQgB3bjQRFVQr0kPMmdc?authuser=0&hl=zh-TW&rclk=1
天王牛排,https://www.google.com/maps/place/%E5%A4%A9%E7%8E%8B%E7%89%9B%E6%8E%92/data=!4m7!3m6!1s0x346e796e6107c571:0xe6cdb73b2cbfd4f1!8m2!3d23.115407!4d120.2351902!16s%2Fg%2F11cn9m35yy!19sChIJccUHYW55bjQR8dS_LDu3zeY?authuser=0&hl=zh-TW&rclk=1
天王牛排鹽行夜市,https://www.google.com/maps/place/%E5%A4%A9%E7%8E%8B%E7%89%9B%E6%8E%92%E9%B9%BD%E8%A1%8C%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x346e77002fc20815:0x863e1a35971e33b9!8m2!3d23.0421163!4d120.2357476!16s%2Fg%2F11y2ms9l6d!19sChIJFQjCLwB3bjQRuTMelzUaPoY?authuser=0&hl=zh-TW&rclk=1
大東夜市 炒公仔麵,"https://www.google.com/maps/place/%E5%A4%A7%E6%9D%B1%E5%A4%9C%E5%B8%82+%E7%82%92%E5%85%AC%E4%BB%94%E9%BA%B5/@22.9826234,120.2161497,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77dd621023eb:0xf3a03e50dbb8584f!8m2!3d22.9826234!4d120.2187246!16s%2Fg%2F11sch9z7dt?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
功夫燒肉夾饃 - 大東夜市,"https://www.google.com/maps/place/%E5%8A%9F%E5%A4%AB%E7%87%92%E8%82%89%E5%A4%BE%E9%A5%83-%E5%A4%A7%E6%9D%B1%E5%A4%9C%E5%B8%82/@22.9825508,120.2161189,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77d949647aeb:0x9ed2ef3026609eca!8m2!3d22.9825508!4d120.2186938!16s%2Fg%2F11v0bs0t8p?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
喵禾子創意棺材板,"https://www.google.com/maps/place/%E5%96%B5%E7%A6%BE%E5%AD%90%E5%89%B5%E6%84%8F%E6%A3%BA%E6%9D%90%E6%9D%BF/@22.982592,120.2161281,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77004831ce8f:0xe81405d39dc41d39!8m2!3d22.982592!4d120.218703!16s%2Fg%2F11yc7_4_lm?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
炫の日式舒芙蕾鬆餅專賣,https://www.google.com/maps/place/%E7%82%AB%E3%81%AE%E6%97%A5%E5%BC%8F%E8%88%92%E8%8A%99%E8%95%BE%E9%AC%86%E9%A4%85%E5%B0%88%E8%B3%A3/data=!4m7!3m6!1s0x346e776f09010e73:0xca391c731055a5b4!8m2!3d22.982421!4d120.2186208!16s%2Fg%2F11t830qvk5!19sChIJcw4BCW93bjQRtKVVEHMcOco?authuser=0&hl=zh-TW&rclk=1
O.原點巧克 Soufflé Pancake,https://www.google.com/maps/place/O.%E5%8E%9F%E9%BB%9E%E5%B7%A7%E5%85%8B+Souffl%C3%A9+Pancake/data=!4m7!3m6!1s0x346e7704928a277f:0xf2331f765325865d!8m2!3d22.9853473!4d120.2056934!16s%2Fg%2F11fjv4ttqh!19sChIJfyeKkgR3bjQRXYYlU3YfM_I?authuser=0&hl=zh-TW&rclk=1
Sisbro 希絲柏甜食所 ｜早午餐｜舒芙蕾鬆餅｜千層蛋糕｜義大利麵｜,https://www.google.com/maps/place/Sisbro+%E5%B8%8C%E7%B5%B2%E6%9F%8F%E7%94%9C%E9%A3%9F%E6%89%80+%EF%BD%9C%E6%97%A9%E5%8D%88%E9%A4%90%EF%BD%9C%E8%88%92%E8%8A%99%E8%95%BE%E9%AC%86%E9%A4%85%EF%BD%9C%E5%8D%83%E5%B1%A4%E8%9B%8B%E7%B3%95%EF%BD%9C%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%EF%BD%9C/data=!4m7!3m6!1s0x346e7684d2a10425:0x88f57f6aad0bca8b!8m2!3d22.9846525!4d120.2165034!16s%2Fg%2F11f2xnkkzm!19sChIJJQSh0oR2bjQRi8oLrWp_9Yg?authuser=0&hl=zh-TW&rclk=1
Autumn舒芙蕾熱鬆餅,https://www.google.com/maps/place/Autumn%E8%88%92%E8%8A%99%E8%95%BE%E7%86%B1%E9%AC%86%E9%A4%85/data=!4m7!3m6!1s0x346e76630bc3d3e1:0xecec215f7cd6a6e!8m2!3d22.9936136!4d120.2010758!16s%2Fg%2F11cn5n5vdg!19sChIJ4dPDC2N2bjQRbmrN9xXCzg4?authuser=0&hl=zh-TW&rclk=1
Jun’s Soufflé舒芙蕾專賣店,https://www.google.com/maps/place/Jun%E2%80%99s+Souffl%C3%A9%E8%88%92%E8%8A%99%E8%95%BE%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m7!3m6!1s0x346e77d2543a8c6f:0x1a52efe331df465!8m2!3d22.997345!4d120.2035175!16s%2Fg%2F11g0qb3xcw!19sChIJb4w6VNJ3bjQRZfQdM_4upQE?authuser=0&hl=zh-TW&rclk=1
