餐廳名稱,餐廳地址,餐廳連結
古都蚵仔煎,701台南市東區林森路一段276號,"https://www.google.com/maps/place/%E5%8F%A4%E9%83%BD%E8%9A%B5%E4%BB%94%E7%85%8E/@22.9823234,120.2164502,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7723212d102f:0xc08f64ee38f57658!8m2!3d22.9823234!4d120.2190251!16s%2Fg%2F11rzfv9r_6?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
鮮奶麻糬,701台南市東區,https://www.google.com/maps/place/%E9%AE%AE%E5%A5%B6%E9%BA%BB%E7%B3%AC/data=!4m7!3m6!1s0x346e77006a1f1385:0xe6a961691c8fae2e!8m2!3d22.9825119!4d120.2191702!16s%2Fg%2F11vzy9qm28!19sChIJhRMfagB3bjQRLq6PHGlhqeY?authuser=0&hl=zh-TW&rclk=1
蕪亖｜麻糬,701台南市東區長榮路二段32巷110號,https://www.google.com/maps/place/%E8%95%AA%E4%BA%96%EF%BD%9C%E9%BA%BB%E7%B3%AC/data=!4m7!3m6!1s0x346e77afdc5323dd:0x7248a58b2153180e!8m2!3d22.9879509!4d120.2213078!16s%2Fg%2F11v64k94rt!19sChIJ3SNT3K93bjQRDhhTIYulSHI?authuser=0&hl=zh-TW&rclk=1
吉野食堂,701台南市東區,"https://www.google.com/maps/place/%E5%90%89%E9%87%8E%E9%A3%9F%E5%A0%82/@22.9824873,120.216533,17z/data=!3m1!4b1!4m6!3m5!1s0x346e770063ef0389:0xc1274912e1647b46!8m2!3d22.9824873!4d120.2191079!16s%2Fg%2F11vpy3fyyn?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
郭公館烤魷魚,701台南市東區,"https://www.google.com/maps/place/%E9%83%AD%E5%85%AC%E9%A4%A8%E7%83%A4%E9%AD%B7%E9%AD%9A/@22.9825712,120.2165645,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77000c933e19:0xd848607dc00ed1e0!8m2!3d22.9825712!4d120.2191394!16s%2Fg%2F11vs2ckrnv?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
五花肉泡菜卷,701台南市東區,"https://www.google.com/maps/place/%E4%BA%94%E8%8A%B1%E8%82%89%E6%B3%A1%E8%8F%9C%E5%8D%B7/@22.9825971,120.2166108,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77007f319a13:0x44399d36004f94de!8m2!3d22.9825971!4d120.2191857!16s%2Fg%2F11ld2swtms?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
晚伍小賣所,701台南市東區林森路一段276號,"https://www.google.com/maps/place/%E6%99%9A%E4%BC%8D%E5%B0%8F%E8%B3%A3%E6%89%80/@22.9826058,120.2163191,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7700424a71e3:0xa7f5df866c84b0ed!8m2!3d22.9826058!4d120.218894!16s%2Fg%2F11vs2ctky8?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
脫皮德國豬腳假日農市店（肉舖）,701台南市東區林森路一段276號,"https://www.google.com/maps/place/%E8%84%86%E7%9A%AE%E5%BE%B7%E5%9C%8B%E8%B1%AC%E8%85%B3%E5%81%87%E6%97%A5%E8%BE%B2%E5%B8%82%E5%BA%97/@22.9825138,120.216306,17z/data=!3m1!4b1!4m6!3m5!1s0x346e771090c8f1a9:0x6aaffc89d0b84a5b!8m2!3d22.9825138!4d120.2188809!16s%2Fg%2F11sy_s1ph_?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
台灣第一菇（熟食店）,701台南市東區林森路一段,"https://www.google.com/maps/place/%E5%8F%B0%E7%81%A3%E7%AC%AC%E4%B8%80%E8%8F%87/@22.9825205,120.2166781,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77c42d7c6885:0x6c91cab5a86770e1!8m2!3d22.9825205!4d120.219253!16s%2Fg%2F11h225b1r5?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
大東夜市,701台南市東區林森路一段276號,https://www.google.com/maps/place/%E5%A4%A7%E6%9D%B1%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x346e769b79d2493d:0xfafc2c8a0c68d96d!8m2!3d22.9826132!4d120.2193412!16s%2Fg%2F155s6l9j!19sChIJPUnSeZt2bjQRbdloDIos_Po?authuser=0&hl=zh-TW&rclk=1
大東東夜市,701台南市東區長榮路一段223號,https://www.google.com/maps/place/%E5%A4%A7%E6%9D%B1%E6%9D%B1%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x346e7789a1d3a9f3:0x86f48eba8a49af74!8m2!3d22.9824657!4d120.2184021!16s%2Fg%2F11vkpd8fpx!19sChIJ86nToYl3bjQRdK9JirqO9IY?authuser=0&hl=zh-TW&rclk=1
凍心炸冰淇淋-台南大東店,701台南市東區林森路一段276號,"https://www.google.com/maps/place/%E5%87%8D%E5%BF%83%E7%82%B8%E5%86%B0%E6%B7%87%E6%B7%8B-%E5%8F%B0%E5%8D%97%E5%A4%A7%E6%9D%B1%E5%BA%97/@22.9825904,120.2166951,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7750c018d205:0xdb8ba01e23521167!8m2!3d22.9825904!4d120.21927!16s%2Fg%2F11swyn0rjg?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
大東夜市,701台南市東區林森路一段276號,https://www.google.com/maps/place/%E5%A4%A7%E6%9D%B1%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x346e769b79d2493d:0xfafc2c8a0c68d96d!8m2!3d22.9826132!4d120.2193412!16s%2Fg%2F155s6l9j!19sChIJPUnSeZt2bjQRbdloDIos_Po?authuser=0&hl=zh-TW&rclk=1
大東東夜市,701台南市東區長榮路一段223號,https://www.google.com/maps/place/%E5%A4%A7%E6%9D%B1%E6%9D%B1%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x346e7789a1d3a9f3:0x86f48eba8a49af74!8m2!3d22.9824657!4d120.2184021!16s%2Fg%2F11vkpd8fpx!19sChIJ86nToYl3bjQRdK9JirqO9IY?authuser=0&hl=zh-TW&rclk=1
