餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容
大東夜市,郭彥宏,在地嚮導 · 40 則評論 · 18 張相片,2 週前,5 顆星,能吃到飽的地方
大東夜市,Liting Chiou,3 則評論,2 週前,4 顆星,
大東夜市,劉庭安,在地嚮導 · 19 則評論 · 12 張相片,2 週前,5 顆星,
大東夜市,芳,"在地嚮導 · 35 則評論 · 1,093 張相片",2 週前,3 顆星,
大東夜市,CC Yeh,26 則評論,2 週前,4 顆星,停車有點不方便，夜市有兩個區塊， 對外地人的我們可能會有點不熟悉，還以為夜市很小，建議有關單位可以規劃的更好 或是有清楚的指示
大東夜市,蔡小姐,在地嚮導 · 320 則評論 · 212 張相片,2 週前,4 顆星,由於清明兒童節連續假日，人潮真的多到爆。
大東夜市,鄭智謙,在地嚮導 · 4 則評論,2 週前,4 顆星,
大東夜市,魁.,在地嚮導 · 16 則評論 · 3 張相片,2 週前,5 顆星,
大東夜市,Kenny Fu,"在地嚮導 · 31 則評論 · 2,422 張相片",2 週前,3 顆星,人超多，吃的東西一般般
大東夜市,yenchun,在地嚮導 · 50 則評論 · 30 張相片,2 週前,4 顆星,場地太擠，停車困難，攤位好吃。
大東夜市,TINNNA,在地嚮導 · 56 則評論 · 56 張相片,2 週前,5 顆星,"希望可以有停車場
路邊停車格真的太少了"
大東夜市,輕鬆自在,在地嚮導 · 56 則評論 · 7 張相片,2 週前,3 顆星,夜市太擁擠了，不好逛。路小條。
大東夜市,Jerry Lin,在地嚮導 · 38 則評論 · 2 張相片,2 週前,4 顆星,
大東夜市,uuud buuu_,3 則評論 · 1 張相片,2 週前,5 顆星,絕對不要去玩射飛鏢的攤位，打手槍的那攤好很多
大東夜市,鍾育丞（LEO）,在地嚮導 · 96 則評論 · 445 張相片,2 週前,4 顆星,好久沒去大東夜市，這次再訪有點小失望，感覺攤位變少不少，以前熱鬧的感覺有點不見了。不過還是有幾家熟悉的老攤在，味道還是一樣好，吃起來很有回憶的感覺。整體逛起來算輕鬆，人潮也沒以前那麼擠，但少了那種熱鬧氣氛就有點可惜。希望未來能再慢慢回到以前那種盛況吧～給個四星鼓勵一下
大東夜市,jenny wang,在地嚮導 · 53 則評論 · 1 張相片,2 週前,1 顆星,今天去買靠近公廁的旗魚黑輪時候，旁邊是賣可莉餅的，我們正在排隊要買旗魚黑輪時候，可莉餅老闆態度就很差的叫我們不要排到他這裡來⋯重點是排黑輪的隊伍就是會排到他前面去，再說他自己的客人也是排到隔壁的炒麵去⋯而且他還用警告意味⋯我跟我先生真的傻眼⋯我們也沒很靠近他的攤位就被講成這樣，而且他時不時還叫他旁邊的助手跟我們說⋯⋯希望管委會可以控制攤位動線嗎⋯完全無言排隊的路是大家可以走動的，還要被這樣對待
大東夜市,巫志強,在地嚮導 · 32 則評論 · 339 張相片,2 週前,4 顆星,
大東夜市,yingying,在地嚮導 · 81 則評論 · 571 張相片,2 週前,4 顆星,
大東夜市,莊家玟,"在地嚮導 · 125 則評論 · 1,701 張相片",2 週前,5 顆星,夜市還挺大的，吃的東西不少！只是找停車場需要耗費一些時間，只能走遠一點！
大東夜市,Vinh Phat,在地嚮導 · 31 則評論 · 587 張相片,2 週前,5 顆星,
大東夜市,Lin Yang,8 則評論 · 3 張相片,2 週前,5 顆星,
大東夜市,Richard Tsai,在地嚮導 · 137 則評論 · 206 張相片,2 週前,4 顆星,
大東夜市,大前田長五郎,在地嚮導 · 133 則評論 · 105 張相片,2 週前,5 顆星,比武聖夜市還要擁擠很多，裡面有的店家其他夜市也有，應該是大武花裡面墊底的了。 這家雞排好吃！
大東夜市,Miller Liu,在地嚮導 · 367 則評論 · 756 張相片,3 週前,5 顆星,大東與大東東，都是夜市
大東夜市,欣玫,在地嚮導 · 9 則評論 · 3 張相片,3 週前,2 顆星,
大東夜市,ntckent,在地嚮導 · 122 則評論 · 99 張相片,3 週前,1 顆星,沒什麼特色
大東夜市,Mark Yeh,16 則評論 · 6 張相片,3 週前,2 顆星,
大東夜市,S.S Shen,在地嚮導 · 13 則評論 · 1 張相片,3 週前,4 顆星,
大東夜市,Peace U,在地嚮導 · 21 則評論 · 18 張相片,3 週前,2 顆星,"分成大東與大東東夜市後，吃的選擇變少了，繞了幾圈都沒什麼可以吃。
如果是要去吃晚餐或點心，建議去花園夜市比較多選擇也比較好逛。

餐點：沒什麼特別必吃的，餐飲選擇性少

交通：距離市區很近，機車方便停車，汽車停車位要找很久"
大東夜市,追月風,在地嚮導 · 33 則評論,3 週前,3 顆星,慢慢的開始在走下坡了
大東夜市,Kam Yin Fan,6 則評論 · 5 張相片,3 週前,5 顆星,
大東夜市,Chi Yang,在地嚮導 · 6 則評論 · 3 張相片,3 週前,5 顆星,
大東夜市,MAX,在地嚮導 · 74 則評論,3 週前,5 顆星,
大東夜市,Hong Zhang Wong,7 則評論 · 2 張相片,3 週前,5 顆星,
大東夜市,林凡士,在地嚮導 · 1 則評論 · 155 張相片,3 週前,5 顆星,
大東夜市,Michael Tan,在地嚮導 · 19 則評論 · 77 張相片,3 週前,4 顆星,另類選擇，而台南其他夜市週二休市。
大東夜市,Ming Love,在地嚮導 · 20 則評論 · 13 張相片,3 週前,5 顆星,很棒
大東夜市,張理查,4 則評論 · 11 張相片,3 週前,5 顆星,
大東夜市,鄭志鵬,在地嚮導 · 49 則評論 · 22 張相片,3 週前,2 顆星,停車很不放便只有機車位沒汽車位逛街慾望不打不如去花園夜市停車方便又好逛而且攤位差不多
大東夜市,鄭永順,在地嚮導 · 164 則評論 · 529 張相片,3 週前,4 顆星,
大東夜市,Joseph Lim,在地嚮導 · 37 則評論 · 11 張相片,3 週前,5 顆星,
大東夜市,Chia Mu Lee,在地嚮導 · 373 則評論 · 88 張相片,3 週前,3 顆星,
